name,boro,zipcode,score,latitude,longitude,nta,review_count,transactions,price,community_by_nta,median_income_by_com,pop_by_nta,distance,cuisine_type,above_avg
catfish,Brooklyn,11216.0,12.0,40.67412989,-73.95380843,BK61,708,"['delivery', 'pickup']",2,K08,74429.0,103169.0,4889.562352543797,american,0
pete's cafe,Bronx,10458.0,12.0,40.85877162,-73.88583505,BX06,50,"['pickup', 'delivery']",1,B06,23605.0,27378.0,19322.96759880275,american,0
nanking,Queens,11420.0,19.0,40.67457801,-73.80388714,QN55,352,"['delivery', 'pickup']",2,Q10,84258.0,75878.0,16404.641123541776,s_asian,0
branson got juice,Manhattan,10031.0,16.0,40.825422100000004,-73.94375563,MN04,29,[],2,M09,68370.0,48520.0,14018.657559751096,bakery_deli_cafe,0
lobo loco,Brooklyn,11209.0,12.0,40.62400712,-74.03084681,BK31,334,"['delivery', 'pickup']",2,K10,76569.0,79371.0,9620.86307655367,american,0
los tres potrillos,Queens,11372.0,26.0,40.74765383,-73.88373085,QN28,76,"['delivery', 'pickup']",2,Q03,67201.0,108152.0,5935.826683176666,latin_caribbean,0
elsewhere espresso,Manhattan,10003.0,10.0,40.72700831,-73.98759956,MN22,96,[],1,M03,41302.0,44136.0,2455.907251818233,bakery_deli_cafe,0
kingsbridge donut shop,Bronx,10463.0,4.0,40.87975174,-73.90645491,BX29,21,"['delivery', 'pickup']",1,B08,61248.0,30161.0,20762.39473472936,american,0
cafe evergreen,Manhattan,10021.0,39.0,40.76864932,-73.95538887,MN31,178,"['delivery', 'pickup']",2,M08,134264.0,80771.0,7773.734086378851,e_asian,0
action burger,Brooklyn,11211.0,12.0,40.71226414,-73.94400299,BK90,236,"['pickup', 'delivery']",2,K01,98284.0,34158.0,4323.724427649698,american,0
sam's,Queens,11372.0,7.0,40.75624519,-73.87868052,QN28,223,[],2,Q03,67201.0,108152.0,2166.4111115940104,italian_pizza,0
united fried chicken,Manhattan,10039.0,27.0,40.8221999,-73.93864943,MN03,6,"['delivery', 'pickup']",3,M10,54932.0,75282.0,13782.442444390654,american,1
petit poulet,Manhattan,10001.0,13.0,40.74865896,-73.98720212,MN17,425,[],2,M05,120248.0,28630.0,4846.122978040125,european,0
runner & stone,Brooklyn,11215.0,2.0,40.67725917,-73.98616315,BK37,296,[],2,K06,155250.0,67649.0,3215.739603527304,american,0
cielo at the mayfair,Manhattan,10019.0,23.0,40.76113093,-73.98534429,MN17,450,"['pickup', 'delivery']",2,M05,120248.0,28630.0,6236.21701211286,italian_pizza,0
lily bloom bakery,Brooklyn,11214.0,9.0,40.60164383,-73.99334512,BK28,121,[],1,K11,57139.0,88727.0,11568.573365761426,bakery_deli_cafe,0
